Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Crustacés et mollusques,moule,R,2008,34,2,µg/kg PF,HAP,PHE,3.790,3.790,3.790,3.790
Crustacés et mollusques,moule,R,2008,1,2,µg/kg PF,HAP,PHE,1.522,1.522,1.522,1.522
Crustacés et mollusques,moule,R,2008,5,1,µg/kg PF,HAP,PHE,1.326,1.326,1.326,1.326
Condiments et sauces,mayonnaise,N,2007,99,1,µg/kg PF,HAP,PHE,0.781,0.781,0.781,0.781
Condiments et sauces,sauce tomate à la viande,N,2007,99,1,µg/kg PF,HAP,PHE,0.049,0.049,0.049,0.049
Condiments et sauces,sauce tomate à la viande,N,2008,99,2,µg/kg PF,HAP,PHE,0.820,0.820,0.820,0.820
Fromages,roquefort,N,2007,99,1,µg/kg PF,HAP,PHE,"< 2,606",0,2.606,1.303
Fromages,roquefort,N,2008,99,2,µg/kg PF,HAP,PHE,5.192,5.192,5.192,5.192
Fromages,fromage à pâte ferme enrobé de cire,N,2007,99,1,µg/kg PF,HAP,PHE,"< 2,686",0,2.686,1.343
Fromages,fromage à pâte ferme enrobé de cire,N,2008,99,2,µg/kg PF,HAP,PHE,"< 0,925",0,0.925,0.4625
Beurre,beurre,N,2007,99,1,µg/kg PF,HAP,PHE,"< 6,198",0,6.198,3.099
Beurre,beurre,N,2008,99,2,µg/kg PF,HAP,PHE,0.251,0.251,0.251,0.251
Beurre,beurre allégé à 60-62 % m.g.,N,2007,99,1,µg/kg PF,HAP,PHE,5.300,5.300,5.300,5.300
Beurre,beurre allégé à 60-62 % m.g.,N,2008,99,2,µg/kg PF,HAP,PHE,"< 0,679",0,0.679,0.3395
Margarine,margarine au tournesol,N,2007,99,1,µg/kg PF,HAP,PHE,17.344,17.344,17.344,17.344
Margarine,margarine au tournesol,N,2008,99,2,µg/kg PF,HAP,PHE,0.132,0.132,0.132,0.132
Huile,huile d'olive vierge 1ère pression,N,2007,99,1,µg/kg PF,HAP,PHE,6.732,6.732,6.732,6.732
Huile,huile d'olive vierge 1ère pression,N,2008,99,2,µg/kg PF,HAP,PHE,9.445,9.445,9.445,9.445
Huile,huile de soja,N,2007,99,1,µg/kg PF,HAP,PHE,10.618,10.618,10.618,10.618
Huile,huile de soja,N,2008,99,2,µg/kg PF,HAP,PHE,9.595,9.595,9.595,9.595
Huile,huile de tournesol,N,2007,99,1,µg/kg PF,HAP,PHE,"< 1,737",0,1.737,0.8685
Huile,huile de tournesol,N,2008,99,2,µg/kg PF,HAP,PHE,3.040,3.040,3.040,3.040
Café,café noir,R,2007,1,1,µg/kg PF,HAP,PHE,"< 0,01",0,0.01,0.005
