Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Fromages,fromage à pâte ferme enrobé de cire,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0040,0.0040,0.0040,0.0040
Fromages,fromage à pâte ferme enrobé de cire,N,2008,99,2,ng/g,Bromés,HBCD alpha,"< 0,008",0,0.008,0.004
Beurre,beurre,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0050,0.0050,0.0050,0.0050
Beurre,beurre,N,2008,99,2,ng/g,Bromés,HBCD alpha,0.0111,0.0111,0.0111,0.0111
Beurre,beurre allégé à 60-62 % m.g.,N,2007,99,1,ng/g,Bromés,HBCD alpha,0.0114,0.0114,0.0114,0.0114
Beurre,beurre allégé à 60-62 % m.g.,N,2008,99,2,ng/g,Bromés,HBCD alpha,"< 0,0149",0,0.0149,0.00745
Margarine,margarine au tournesol,N,2007,99,1,ng/g,Bromés,HBCD alpha,"< 0,0088",0,0.0088,0.0044
Margarine,margarine au tournesol,N,2008,99,2,ng/g,Bromés,HBCD alpha,"< 0,0158",0,0.0158,0.0079
Huile,huile d'olive vierge 1ère pression,N,2007,99,1,ng/g,Bromés,HBCD alpha,"< 0,0242",0,0.0242,0.0121
Huile,huile de soja,N,2007,99,1,ng/g,Bromés,HBCD alpha,"< 0,0231",0,0.0231,0.01155
Huile,huile de tournesol,N,2007,99,1,ng/g,Bromés,HBCD alpha,"< 0,0227",0,0.0227,0.01135
Oeufs et dérivés,oeuf dur,R,2008,2,1,ng/g,Bromés,HBCD alpha,0.0341,0.0341,0.0341,0.0341
Oeufs et dérivés,oeuf dur,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.0345,0.0345,0.0345,0.0345
Oeufs et dérivés,oeuf dur,R,2007,34,1,ng/g,Bromés,HBCD alpha,0.0042,0.0042,0.0042,0.0042
Oeufs et dérivés,oeuf dur,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.0056,0.0056,0.0056,0.0056
Oeufs et dérivés,oeuf dur,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.0029,0.0029,0.0029,0.0029
Oeufs et dérivés,oeuf dur,R,2009,6,2,ng/g,Bromés,HBCD alpha,0.0047,0.0047,0.0047,0.0047
Oeufs et dérivés,oeuf dur,R,2008,2,2,ng/g,Bromés,HBCD alpha,0.0028,0.0028,0.0028,0.0028
Oeufs et dérivés,oeuf dur,R,2008,9,1,ng/g,Bromés,HBCD alpha,0.0123,0.0123,0.0123,0.0123
Oeufs et dérivés,oeuf dur,R,2008,9,2,ng/g,Bromés,HBCD alpha,0.0040,0.0040,0.0040,0.0040
Oeufs et dérivés,oeuf dur,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0012,0.0012,0.0012,0.0012
Oeufs et dérivés,oeuf dur,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.0071,0.0071,0.0071,0.0071
Oeufs et dérivés,oeuf dur,R,2008,1,2,ng/g,Bromés,HBCD alpha,0.0050,0.0050,0.0050,0.0050
Oeufs et dérivés,oeuf dur,R,2008,6,1,ng/g,Bromés,HBCD alpha,0.0014,0.0014,0.0014,0.0014
Oeufs et dérivés,oeuf dur,R,2008,8,2,ng/g,Bromés,HBCD alpha,0.0105,0.0105,0.0105,0.0105
Plats composés,cassoulet,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0450,0.0450,0.0450,0.0450
Plats composés,cassoulet,R,2009,5,2,ng/g,Bromés,HBCD alpha,0.1380,0.1380,0.1380,0.1380
