Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Boissons fraîches sans alcool,boisson aux extraits de thé aromatisé,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons fraîches sans alcool,boisson aux extraits de thé aromatisé,N,2008,99,2,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons fraîches sans alcool,boisson gazeuse à l'orange avec pulpe sucrée,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons fraîches sans alcool,boisson gazeuse à l'orange avec pulpe sucrée,N,2008,99,2,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons fraîches sans alcool,boisson plate à l'orange,N,2007,99,1,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Boissons fraîches sans alcool,boisson plate à l'orange,N,2008,99,2,mg/l,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Pâtisseries et gâteaux,gâteau au chocolat,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,gâteau au chocolat,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Pâtisseries et gâteaux,cake aux fruits confits,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",4,4,4,4
Pâtisseries et gâteaux,cake aux fruits confits,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,2007,99,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,2008,99,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (4),0,4.0,2.0
Plats composés,cassoulet,R,2008,5,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,cassoulet,R,2009,5,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,choucroute,R,2008,5,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,choucroute,R,2008,9,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,choucroute,R,2009,5,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,choucroute,R,2009,6,2,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",,,,
Plats composés,hachis parmentier,R,2007,1,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",NQ (5),0,5.0,2.5
Plats composés,hachis parmentier,R,2007,34,1,mg/kg,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
Plats composés,hachis parmentier,R,2008,1,2,mg/kg ,Additifs,"Sulfites   (E220, E221, E222, E223, E224, E226, E227 et E228)",ND (1),0,1.0,0.5
