Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
Beurre,beurre allégé à 60-62 % m.g.,N,2008,99,2,pg/g PF,Dioxines PCB,Lipides (%),39.0,0,,
Margarine,margarine au tournesol,N,2007,99,1,pg/g PF,Dioxines PCB,Lipides (%),86.78,0,,
Margarine,margarine au tournesol,N,2008,99,2,pg/g PF,Dioxines PCB,Lipides (%),89.59,0,,
Huile,huile d'olive vierge 1ère pression,N,2007,99,1,pg/g PF,Dioxines PCB,Lipides (%),99.8,0,,
Huile,huile d'olive vierge 1ère pression,N,2008,99,2,pg/g PF,Dioxines PCB,Lipides (%),99.65,0,,
Huile,huile de soja,N,2007,99,1,pg/g PF,Dioxines PCB,Lipides (%),100.0,0,,
Huile,huile de soja,N,2008,99,2,pg/g PF,Dioxines PCB,Lipides (%),99.93,0,,
Huile,huile de tournesol,N,2007,99,1,pg/g PF,Dioxines PCB,Lipides (%),99.91,0,,
Huile,huile de tournesol,N,2008,99,2,pg/g PF,Dioxines PCB,Lipides (%),99.94,0,,
Oeufs et dérivés,oeuf dur,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),9.18,0,,
Oeufs et dérivés,oeuf dur,R,2007,7,1,pg/g PF,Dioxines PCB,Lipides (%),9.62,0,,
Oeufs et dérivés,oeuf dur,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),9.49,0,,
Oeufs et dérivés,oeuf dur,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),9.49,0,,
Oeufs et dérivés,oeuf dur,R,2008,2,1,pg/g PF,Dioxines PCB,Lipides (%),9.3,0,,
Oeufs et dérivés,oeuf dur,R,2008,2,2,pg/g PF,Dioxines PCB,Lipides (%),9.08,0,,
Oeufs et dérivés,oeuf dur,R,2008,6,1,pg/g PF,Dioxines PCB,Lipides (%),10.36,0,,
Oeufs et dérivés,oeuf dur,R,2008,7,2,pg/g PF,Dioxines PCB,Lipides (%),8.62,0,,
Oeufs et dérivés,oeuf dur,R,2008,8,1,pg/g PF,Dioxines PCB,Lipides (%),10.2,0,,
Oeufs et dérivés,oeuf dur,R,2008,8,2,pg/g PF,Dioxines PCB,Lipides (%),9.2,0,,
Oeufs et dérivés,oeuf dur,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),9.78,0,,
Oeufs et dérivés,oeuf dur,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),9.13,0,,
Oeufs et dérivés,oeuf dur,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),9.79,0,,
Oeufs et dérivés,oeuf dur,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),9.39,0,,
Plats composés,cassoulet,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),6.72,0,,
Plats composés,cassoulet,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),7.86,0,,
Plats composés,choucroute,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),12.63,0,,
Plats composés,choucroute,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),11.66,0,,
Plats composés,choucroute,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),11.99,0,,
Plats composés,choucroute,R,2009,6,2,pg/g PF,Dioxines PCB,Lipides (%),13.6,0,,
Plats composés,hachis parmentier,R,2007,1,1,pg/g PF,Dioxines PCB,Lipides (%),12.0,0,,
Plats composés,hachis parmentier,R,2007,34,1,pg/g PF,Dioxines PCB,Lipides (%),10.55,0,,
Plats composés,hachis parmentier,R,2008,1,2,pg/g PF,Dioxines PCB,Lipides (%),9.25,0,,
Plats composés,hachis parmentier,R,2008,5,1,pg/g PF,Dioxines PCB,Lipides (%),8.79,0,,
Plats composés,hachis parmentier,R,2008,9,1,pg/g PF,Dioxines PCB,Lipides (%),14.37,0,,
Plats composés,hachis parmentier,R,2008,9,2,pg/g PF,Dioxines PCB,Lipides (%),7.93,0,,
Plats composés,hachis parmentier,R,2008,34,2,pg/g PF,Dioxines PCB,Lipides (%),12.32,0,,
Plats composés,hachis parmentier,R,2009,5,2,pg/g PF,Dioxines PCB,Lipides (%),10.18,0,,
